Acecino;sustantivo mal escrito;similar a asesino, pero con errores de ortografía.
Aguja;sustantivo delgado;trozo de metal. Si es macizo sirve para coser, si es hueco para inyectar cualquier fluido en un cuerpo, humano, animal o inanimado.
Alambrado;sustantivo de alambre;tejido de hilo metálico de espesores variados utilizado para delimitar el espacio terrestre. Suele tener púas agresivas.
Almohada;sustantivo cervical;objeto que no es una cama ni una sábana. Pensado para dormir, aunque es útil en la guerra contra enemigos alérgicos a las plumas.
Aniversario;sustantivo cíclico;festejo que conmemora haber resistido un año más en cualquier situación. Se aplica a personas parejas e instituciones.
Arco;sustantivo doble;término ambiguo. Designa tanto al arma que arroja flechas como al trozo de madera con el que se frotan los violines.
Arroz;sustantivo hecho de granos;pequeño grano útil como alimento que aumenta su tamaño cuando se hidrata. Proyectil normalmente arrojado a los recién casados.
Artista;sustantivo excéntrico;persona que se dedica a una disciplina inútil. Ser que prefiere explorar el mundo con intuición, renunciando al método científico.
Asfixiante;adjetivo agonizante;palabra útil para describir sucesos tortuosos que nos llevan a la muerte por falta de oxígeno.
Banco;sustantivo financiero;pequeña estructura de madera sobre la que uno puede sentarse. Corporación que presta al deudor el dinero del ahorrista.
Batería;sustantivo que almacena;objeto casi siempre cuadrado que puede guardar la electricidad de los enchufes para usarla más tarde.
Bermuda;sustantivo corto;aquel pantalón al que deshonran guillotinándole toda la tela que tiene por debajo de las rodillas, del usuario.
Bicicleta;sustantivo de dos ruedas;vehículo ambiguo. Al respetar la ley de tránsito molesta automovilistas. Al contrariarla incomoda peatones.
Botella;sustantivo con tapa;elemento muy usado en televisión para desmayar gente. Se consigue en cualquier almacén casi siempre llena de líquido.
Buque;sustantivo a la deriva;muy pero muy parecido a un barco, pero se escribe distinto. Suele, al igual que el barco, encontrarse en el agua.
Cafetera;sustantivo estimulante;instrumento musical de uso hogareño que suena parecido a un redoble de tambor (cuando el agua hierve). Además de ruido, hace café.
Caja;sustantivo de embalar;objeto generalmente prismático útil para guardar distintas cosas. Hay de todos los tamaños. Si son muy grandes son didíciles de abrir.
Cambio;sustantivo en billete;cantidad de dinero que se nos devuelve al comprar un producto cualquiera, siempre menor a la esperada.
Candado;sustantivo cerrojo;objeto inanimado utilizado para cerrar puertas o atar bicicletas con ayuda de cadenas. Barba que requiere mucha atención.
Cara;sustantivo facial;parte del cuerpo que permite a los distintos individuos reconocerse entre sí rápidamente de un vistazo.
Caramelo;sustantivo con azúcar;golosina siempre envuelta de una manera curiosa. Da vueltas cuando se separan sus extremos.
Carta;sustantivo postal;medio de comunicación extremadamente lento, inseguro e incómodo. Suele guardarse en un sobre y requerir estampillas.
Castor;sustantivo dentado;animal famoso por haber invadido los alrededores de Ushuaia. Provocó desastres desviando el agua con diques no autorizados.
Celular;sustantivo por microondas;teléfono sin cables que mientras está enchufado para recargar su batería, rinde homenaje a los teléfonos fijos.
